id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,index fit,67,60,42,36,147,watch,baseline,monotonic-signal,raise-signal
m002,g002,join width,95,28,26,37,248,ship,edge,drag-penalty,drop-slack
m003,g003,constraint risk,73,66,26,82,303,ship,recovery,confidence-floor,raise-drag
m004,g004,plan drift,109,12,17,56,322,ship,negative,lane-boundary,lower-confidence
m005,g005,index fit,52,57,39,67,142,watch,baseline,monotonic-signal,raise-signal
m006,g006,join width,57,1,30,27,50,hold,edge,drag-penalty,drop-slack
m007,g007,constraint risk,68,62,13,55,318,ship,recovery,confidence-floor,raise-drag
m008,g008,plan drift,77,20,17,60,246,ship,negative,lane-boundary,lower-confidence
m009,g009,index fit,94,71,24,44,348,ship,baseline,monotonic-signal,raise-signal
m010,g010,join width,48,18,29,77,112,hold,edge,drag-penalty,drop-slack
m011,g011,constraint risk,33,11,40,55,-24,hold,recovery,confidence-floor,raise-drag
m012,g012,plan drift,73,74,15,35,327,ship,negative,lane-boundary,lower-confidence
m013,g013,index fit,62,38,44,49,91,hold,baseline,monotonic-signal,raise-signal
m014,g014,join width,46,12,45,97,34,hold,edge,drag-penalty,drop-slack
m015,g015,constraint risk,46,18,12,83,197,watch,recovery,confidence-floor,raise-drag
m016,g016,plan drift,50,53,7,67,288,ship,negative,lane-boundary,lower-confidence
m017,g017,index fit,64,73,31,40,223,ship,baseline,monotonic-signal,raise-signal
m018,g018,join width,61,4,23,68,144,watch,edge,drag-penalty,drop-slack
m019,g019,constraint risk,68,59,49,43,120,hold,recovery,confidence-floor,raise-drag
m020,g020,plan drift,31,48,11,22,156,watch,negative,lane-boundary,lower-confidence
m021,g021,index fit,69,45,39,36,138,watch,baseline,monotonic-signal,raise-signal
m022,g022,join width,78,0,12,81,255,ship,edge,drag-penalty,drop-slack
m023,g023,constraint risk,46,67,28,68,200,watch,recovery,confidence-floor,raise-drag
m024,g024,plan drift,78,27,27,53,206,ship,negative,lane-boundary,lower-confidence
m025,g025,index fit,106,62,11,26,413,ship,baseline,monotonic-signal,raise-signal
m026,g026,join width,66,54,4,54,340,ship,edge,drag-penalty,drop-slack
m027,g027,constraint risk,54,69,51,72,117,hold,recovery,confidence-floor,raise-drag
m028,g028,plan drift,96,73,24,30,344,ship,negative,lane-boundary,lower-confidence
m029,g029,index fit,85,43,15,76,342,ship,baseline,monotonic-signal,raise-signal
m030,g030,join width,114,54,33,54,339,ship,edge,drag-penalty,drop-slack
m031,g031,constraint risk,48,44,51,47,24,hold,recovery,confidence-floor,raise-drag
m032,g032,plan drift,99,71,9,35,429,ship,negative,lane-boundary,lower-confidence
m033,g033,index fit,57,17,14,96,231,ship,baseline,monotonic-signal,raise-signal
m034,g034,join width,114,51,18,82,436,ship,edge,drag-penalty,drop-slack
m035,g035,constraint risk,62,17,49,79,54,hold,recovery,confidence-floor,raise-drag
m036,g036,plan drift,84,67,29,26,267,ship,negative,lane-boundary,lower-confidence
m037,g037,index fit,107,25,30,67,288,ship,baseline,monotonic-signal,raise-signal
m038,g038,join width,109,65,32,42,339,ship,edge,drag-penalty,drop-slack
m039,g039,constraint risk,30,34,41,34,-13,hold,recovery,confidence-floor,raise-drag
m040,g040,plan drift,38,16,16,22,88,hold,negative,lane-boundary,lower-confidence
m041,g041,index fit,98,9,8,80,352,ship,baseline,monotonic-signal,raise-signal
m042,g042,join width,74,32,27,67,218,ship,edge,drag-penalty,drop-slack
m043,g043,constraint risk,114,28,45,65,238,ship,recovery,confidence-floor,raise-drag
m044,g044,plan drift,94,23,24,12,220,ship,negative,lane-boundary,lower-confidence
m045,g045,index fit,96,58,39,53,262,ship,baseline,monotonic-signal,raise-signal
m046,g046,join width,87,0,6,71,302,ship,edge,drag-penalty,drop-slack
m047,g047,constraint risk,91,20,19,42,260,ship,recovery,confidence-floor,raise-drag
m048,g048,plan drift,96,64,38,62,288,ship,negative,lane-boundary,lower-confidence
m049,g049,index fit,111,53,31,53,337,ship,baseline,monotonic-signal,raise-signal
m050,g050,join width,109,39,29,46,306,ship,edge,drag-penalty,drop-slack
m051,g051,constraint risk,72,16,16,47,215,ship,recovery,confidence-floor,raise-drag
m052,g052,plan drift,101,72,42,82,319,ship,negative,lane-boundary,lower-confidence
m053,g053,index fit,40,32,18,81,175,watch,baseline,monotonic-signal,raise-signal
m054,g054,join width,87,56,29,78,306,ship,edge,drag-penalty,drop-slack
m055,g055,constraint risk,31,70,43,38,56,hold,recovery,confidence-floor,raise-drag
m056,g056,plan drift,50,74,41,53,146,watch,negative,lane-boundary,lower-confidence
m057,g057,index fit,116,8,45,41,180,watch,baseline,monotonic-signal,raise-signal
